Short Address,العنوان الوطني المختصر
Documents,مستندات
License,الرخصة
License Type,أنواع الرخص
License Arabic,الرخصة بالعربي 
License English,الرخصه بالإنجليزي
Type English,النوع بالإنجليزي
Type Arabic,النوع بالعربي
Renew,تجديد
Renew before the expiration date,تجديد قبل إنتهاء التاريخ
Company Policy,سياية الشركة
mployee Exit,خروج الموظف
Attendance & Leaves,الحضور والإنصراف
Joining,الإنضمام
Salary Payout,صرف الرواتب
Transactions & Reports,المعاملات والتقارير
Deduction Reports,تقارير الخصم
Accounting Reports,تقارير المحاسبة
Payroll Reports,تقارير الرواتب
Salary Withholding,حجب الرواتب
Bulk Salary Structure Assignment,تعيين هيكلة الرواتب بالجملة
Exemption,الإعفاء
Benefits,الفوائد
Income Tax Computation,حساب ضريبة الدخل
Shift & Attendance,الدوام والحضور
Project Profitability,المشاريع الربحية
Employee Hours Utilization Based On Timesheet,ساعات عمل الموظفين بناء على جدول العمل
Shift Assignment Tool,أداة تعيين المناوبات
Shift Schedule Assignment,تعيين جدول المناوبة
hift Schedule,جدول المناوبات
Claims,المطالبات
Learn Procurement,تعليم المشتريات
Interview Type,نوع المقابلة
nterview Round,جولة المقالة
Interview,المقابلة
Interview Feedback,تعليق عن المقابلة
Grievance Type,نوع الشكوى
Employee Grievance,شكاوى الموظفين
Monthly Consumption Comparison,مقارنة الاستهلاك الشهري
Product Name,اسم المنتج
Cuisine,المطبخ
Source of Proposal,مصدر الاقتراح
Target Segment,الشريحة المستهدفة
Expected Market Size,حجم السوق المتوقع
Compatibility with Current Production Capabilities,توافق مع قدرات الإنتاج الحالية
Aligns with Company Vision & Goals,يتماشى مع رؤية وأهداف الشركة
Special Requirements,متطلبات خاصة
Solid Liquid,صلبة/سائلة
Appearance,المظهر
Texture,القوام
Taste,الطعم
Spicy,حار
Sensory Evaluation Decision,قرار التقييم الحسي
Component Type,نوع المكون
Asian,آسيوي
Chinese,صيني
Fusion,مزيج
Indian,هندي
Italian,إيطالي
Japanese,ياباني
Korean,كوري
Local,محلي
Mediterranean,متوسطي
Mexican,مكسيكي
Middle Eastern,شرق أوسطي
Thai,تايلاندي
Traditional,تقليدي
Turkish,تركي
Western,غربي
Sales,مبيعات
Customer,عميل
Competitor,منافس
Management,إدارة
RND,بحث وتطوير
Military Sector,القطاع العسكري
Hajj & Umrah,الحج والعمرة
Retail,تجزئة
Government,حكومة
Private Sector,القطاع الخاص
Export,تصدير
Low,منخفض
Medium,متوسط
High,مرتفع
Chewy,مطاطي
Dry,جاف
Firm,صلب
Grainy,حبيبي
Hard,قاسي
Lumpy,متكتل
Soggy,رطب/مبتل
Thin,رقيق
Viscous,لزج
Watery,مائي
Bitter,مر
Bland,فاتر
Fragrant,عطر
Good flavour,نكهة جيدة
Off flavour,نكهة غير مرغوبة
Peppery,فلفلي
Pungent,حاد/لاذع
Rancid,متأكسد
Salty,مالح
Sweet,حلو
Mild,خفيف
Medium,متوسط
Hot,حار
Extra Hot,حار جدًا
Needs Improvement,يحتاج تحسين
Replace Required,يحتاج استبدال
Solid,صلب
Liquid,سائل
Product Info,معلومات المنتج
Product Proposal,مقترح المنتج
Product Name,اسم المنتج
Product Name Arabic,اسم المنتج بالعربية
Cuisine,المطبخ
Source of Proposal,مصدر المقترح
Target Segment,الفئة المستهدفة
Expected Market Size,حجم السوق المتوقع
Expected Quantity,الكمية المتوقعة
Compatibility with Current Production Capabilities,التوافق مع قدرات الإنتاج الحالية
Selling Price,سعر البيع
Aligns with Company Vision & Goals,يتماشى مع رؤية وأهداف الشركة
Special Requirements,متطلبات خاصة
Pouches that can be produced from the Raw Materials,الأكياس التي يمكن إنتاجها من المواد الخام
Holding Time,مدة الحفظ
Component Name,اسم المكوّن
Temperature,درجة الحرارة
Duration (minutes),المدة (بالدقائق)
Preparation BOM,BOM
Process Type,نوع العملية
Cooking Type,نوع الطهي
Mild,خفيف
Hot,حار
Extra Hot,حار جدًا
Accept,مقبول
Need Improvement,يحتاج تحسين
Sensory Evaluation,التقييم الحسي
Sensory Evaluation Decision,قرار التقييم الحسي
Spicy,متبل / حار
Final Status,الحالة النهائية
Asian,آسيوي
Chinese,صيني
Fusion,مزيج
Indian,هندي
Italian,إيطالي
Japanese,ياباني
Korean,كوري
Local,محلي
Mediterranean,متوسطي
Mexican,مكسيكي
Middle Eastern,شرق أوسطي
Thai,تايلاندي
Traditional,تقليدي
Turkish,تركي
Western,غربي
Low,منخفض
Medium,متوسط
High,مرتفع
Compatible,متوافق
Minor Adjustments,تعديلات بسيطة
Major Changes,تغييرات جوهرية
Not Compatible,غير متوافق
Sales,المبيعات
Customer,العميل
Competitor,المنافس
Management,الإدارة
Product Development,تطوير المنتجات
Quantity by Period,الكميات حسب الفترة
Grand Total Cost,إجمالي التكلفة الكلي,
"This report shows movement quantities and costs for the selected period, converted to the selected unit and grouped by Item Group.","يعرض هذا التقرير كميات وتكاليف الحركة خلال الفترة المحددة، مع تحويل الكمية إلى الوحدة المختارة وتجميعها حسب مجموعة الصنف."
"Date Filter","فلتر التاريخ"
"This Year","هذه السنة"
"Last Year","السنة السابقة"
"Transaction Scope","نوع العملية"
"Purchased Materials","مواد مشتراة"
"Manufactured Items","أصناف تم تصنيعها"
"Aggregation","طريقة التجميع"
"Detailed","تفصيلي"
"Group Total Only","إجمالي المجموعات فقط"
"Grand Total Only","الإجمالي الكلي فقط"
"Item / Group","الصنف / المجموعة"
"Qty ({0})","الكمية ({0})"
"Unit Cost / {0}","تكلفة الوحدة / {0}"
"Total Cost","إجمالي التكلفة"
"From Date and To Date are required for Custom mode.","يجب إدخال من تاريخ وإلى تاريخ عند اختيار الوضع المخصص."
"From Date cannot be after To Date.","لا يمكن أن يكون من تاريخ بعد إلى تاريخ."
"Month is required.","الشهر مطلوب."
"Year is required.","السنة مطلوبة."
"Year option is required.","خيار السنة مطلوب."
"Invalid month.","الشهر غير صحيح."
"No Item Group","بدون مجموعة صنف"
"Grand Qty ({0})","إجمالي الكمية ({0})"
"Report shows positive movement quantity and cost for {0}, converted to {1}.","يعرض التقرير الكمية والتكلفة للحركات الموجبة لـ {0} بعد التحويل إلى {1}."
"Report shows positive movement quantity and cost for {0}, converted to {1}. The following items were skipped because they cannot be converted to weight reliably: {2}{3}","يعرض التقرير الكمية والتكلفة للحركات الموجبة لـ {0} بعد التحويل إلى {1}. تم تجاوز الأصناف التالية لأنه لا يمكن تحويلها إلى وزن بشكل موثوق: {2}{3}"
"Total Quantity ({0})","إجمالي الكمية ({0})"
Total Cost,إجمالي التكلفة
"This report shows purchased and manufactured quantities and costs for the selected period, converted to {0}.","يعرض هذا التقرير كميات وتكاليف المواد المشتراة والأصناف المصنعة خلال الفترة المحددة، بعد التحويل إلى {0}."
